Politician,Top 10 Unique N-grams
lukas-wagenknecht,veřejnoprávních médií (9); zákona střetu (9); svěřenských fondů (9); zákona střetu zájmů (9); pana premiéra babiše (9); nezávislost veřejnoprávních (8); zájmů pana (8); mého názoru (8); podle zákona (8); kauze čapí (7); čerpání dotací (7); pana šarocha (7); evropské radě (7); podle mého (7); agent stb (7); veřejných zakázek (7); rop sz (7); auditní zprávy (7); monitorovací systém (7); nezávislost veřejnoprávních médií (7); podle mého názoru (7); premiéra jeho (6); rozpočtu eu (6); senátor 21 (6); hrubé porušení (6); porušení ústavy (6); prokázaný dotační (6); panem premiérem (6); auditních zpráv (6); evropského práva (6)
marek-vyborny,insolvenčního zákona (9); gymnázium pardubice (9); vychované dítě (9); ochranu vody půdy (9); již zítra (8); heřmanově městci (8); pardubice mozartova (8); let věku (8); 500 korun (8); každé vychované (8); marek výborný (8); gymnázium pardubice mozartova (8); 4 let věku (8); každé vychované dítě (8); musí platit (7); volebního zákona (7); roman línek (7); přeji krásný (7); lepší evropu (7); marian jurečka (7); zdanění náhrad (7); náhrad církvím (7); zvýšení rodičovského (7); okresní konferenci (7); mladí lidovci (7); ústavní ochranu vody půdy (7); dvě miliardy (6); mnohem více (6); šárka jelínková (6); jednání sněmovny (6)
marek-zenisek,prezidenta zemana (6); vše nejlepší (6); 09 stan (6); brexit dohody (6); top 09 stan (6); novou dohodu (5); evropské lidové (5); dva roky (5); úplně jedno (5); měli bychom (4); ta zlá (4); politické strany (4); lidové strany (4); nový rok (4); bojovat proti (4); členských států (4); horší než (4); volby ep (4); pořád stejní (4); zájmy čr (4); této vlády (4); svoji práci (4); 2 hdp (4); hdp obranu (4); mil rusů (4); evropské lidové strany (4); 2 hdp obranu (4); necelé tři (3); zejména pak (3); eu řekl (3)
marian-jurecka,pozemkové úpravy (9); 2 mld (8); rozhodnutí soudu (7); kč ročně (7); střetu zájmu (7); 2 mld kč (7); ja myslím (6); benefiční koncert (6); této vlády (6); investiční dotace (6); moji osobu (6); vody půdy (5); návrh rozpočtu (5); dej bůh (5); bůh štěstí (5); komise eu (5); olomouckém kraji (5); čisté svědomí (5); zelenou naftu (5); člen vlády (5); žádné investiční (5); čtyři roky (5); coby ministr (5); chcete levnější (5); svůj názor (5); dej bůh štěstí (5); mld kč ročně (5); žádné investiční dotace (5); pan předseda (4); hmotných rezerv (4)
marketa-adamova,ráda bych (5); předsedkyni top (5); jaromíra soukupa (5); současný stav (4); těším spolupráci (4); politické strany (4); trestní stíhání (4); opozičních stran (4); týrání zvířat (4); dálnice dálnice (4); předsedkyni top 09 (4); součástí mezinárodních (3); mezinárodních struktur (3); petra pavla (3); farmě čapí (3); toustový chléb (3); naše návrhy (3); komunistického režimu (3); jeho okolí (3); zdravotního pojištění (3); stala členkou (3); době konjunktury (3); proti návrhu (3); ministryni financí (3); ústavní žaloba (3); mimořádnou schůzi (3); mladých čechů (3); zákona zpřísňuje (3); zavedení eura (3); volbách ep (3)
martin-kolovratnik,přesvědčený bychom měli (9); železniční konferenci pardubice (9); místopředseda správní rady (9); silnic dálnic řsd (8); čísla mluví jasně (8); kilometrů nových dálnic (8); modernizace železničního uzlu (8); kilometrů nových silnic (8); ředitelství silnic dálnic řsd (8); zákona urychlení výstavby dopravní infrastruktury (8); zákon urychlení výstavby (7); rád napíšete názor (7); dopravní cesty sždc (7); zákon urychlení výstavby dopravní (7); budu rád napíšete názor (7); modernizace železničního uzlu pardubice (7); místopředseda správní rady sždc (7); železniční dopravní cesty sždc (7); nový stavební zákon (6); staveb pět let (6); příští rok začíná (6); rok začíná velká (6); začíná velká modernizace (6); velká modernizace železničního (6); rekonstrukce velké části (6); velké části kolejiště (6); části kolejiště stavba (6); kolejiště stavba nového (6); stavba nového nástupiště (6); nového nástupiště ním (6)
martina-dlabajova,jana palacha (8); přídavků děti (6); jan palach (6); mladých lidí (5); vnitřním trhu (4); proti zneužívání (4); zneužívání odkazu (4); odkazu jana (4); českých rodin (4); malé střední (4); střední podniky (4); di jan (4); těším spolupráci (4); skvělá zpráva (4); proti zneužívání odkazu (4); zneužívání odkazu jana (4); odkazu jana palacha (4); malé střední podniky (4); di jan palach (4); proti zneužívání odkazu jana (4); zneužívání odkazu jana palacha (4); proti zneužívání odkazu jana palacha (4); indexací přídavků (3); trhu eu (3); zeměmi eu (3); vnitřní trh (3); indexace přídavků (3); mladé lidi (3); che il (3); con il (3)
michaela-sojdrova,češi pomáhají (9); michaela šojdrová (9); nicholas winton (8); nedoprovázených dětí (7); paní šojdrová (6); pracovních míst (6); podle něj (6); hezký večer (6); uprchlických táborů (6); táborů řecku (6); lepší evropu (6); post předsedy (6); obětem války (6); česká vláda (6); evropskou unii (6); uprchlické děti (6); budu ráda (6); evropských lidovců (6); petr pithart (5); manfred weber (5); přijetí nedoprovázených (5); dětským obětem (5); dobrovolnou solidaritu (5); řeckých ostrovech (5); celém světě (5); 200 rodin (5); pevně věřím (5); předsedu evropské (5); uprchlických táborů řecku (5); dětským obětem války (5)
michal-kucera,těší mě (8); dan pitek (6); hnědého uhlí (6); karel schwarzenberg (5); století páry (5); zákoník práce (5); ústecký kraj (5); hospodářském výboru (5); více peněz (4); těžba hnědého (4); václav havel (4); slevy jízdném (4); stavebního zákona (4); stavební zákon (4); opravdu chceme (4); rudá věž (4); věž smrti (4); údolí berounky (4); ministra dopravy (4); vzpomeňme rok (4); přírody krajiny (4); mnoho zdaru (4); směřování naší (4); hloupý vtip (4); těžba hnědého uhlí (4); rudá věž smrti (4); směřování naší země (4); elektronické řízení (3); podle dopravní (3); dopravní situace (3)
mikulas-ferjencik,povinného přimíchávání (7); smluv čez (7); registru smluv (7); zrušení povinného (6); přimíchávání biopaliv (6); rozšíření eet (6); zrušení povinného přimíchávání (6); povinného přimíchávání biopaliv (6); další státní (5); prošlo sněmovnou (5); registru smluv čez (5); zrušení povinného přimíchávání biopaliv (5); stejný efekt (4); rozpočtovém výboru (4); čez další (4); omezení kumulace (4); kumulace platů (4); rozšíření registru (4); smluv čez další (4); omezení kumulace platů (4); rozšíření registru smluv (4); rozšíření registru smluv čez (4); bytů praze (3); plénu sněmovny (3); 2 miliardy (3); úplně stejný (3); biopaliv nafty (3); jinými slovy (3); vládní pozici (3); analytický tým (3)
mikulas-peksa,českém parlamentu (9); členských států (9); členských zemí (9); evropské peníze (8); copyrightové směrnice (8); autorském právu (8); roce 2015 (8); minimální mzdy (8); pirátské strany (8); globální oteplování (8); nadnárodní korporace (8); cenzorní směrnici (7); svobody internetu (7); bojovat proti (7); směrnice copyrightu (7); digitální daně (7); klimatická krize (7); evropské dotace (7); umělé inteligence (7); evropská rada (7); oxidu uhličitého (7); placení daní (7); mikuláš peksa (6); ursuly von (6); proti cenzorní (6); frakce svobodná (6); skleníkových plynů (6); evropské radě (6); evropské armády (6); marek hilšer (6)
milos-vystrcil,eva decroix (9); předseda senátorského klubu ods (9); schůzi senátu (8); milošem vystrčilem (8); kraje vysočina (8); webový přenos (7); přenos jednání (7); vystrčil schůzi (7); valdštejnského paláce (7); senátorem milošem (7); senátora miloše (7); senátor miloš (7); webový přenos jednání (7); miloš vystrčil schůzi (7); senátorem milošem vystrčilem (7); senátora miloše vystrčila (7); senátor miloš vystrčil (7); senátora miloš vystrčil schůzi (7); vystoupení senátora miloš vystrčil schůzi (7); čt 24 (6); paláce senátu (6); jednání schůze (6); schůze funkčního (6); funkčního období (6); období senát (6); valdštejnského paláce senátu (6); přenos jednání schůze (6); jednání schůze funkčního (6); schůze funkčního období (6); funkčního období senát (6)
milos-zeman,státního svátku (9); milý pane (9); příležitosti uvedl vážený (9); své pracovně pražském (9); vážený pane ministře (9); příležitosti uvedl vážený pane (9); své pracovně pražském hradě (9); velmi rád (8); kraje vysočina (8); přátelsky přivítal (8); tisková konference (8); hradě jmenoval (8); druhé straně (8); sále pražského (8); října 2019 (8); skupiny třídy (8); medaili hrdinství (8); vážený pane prezidente (8); pražském hradě jmenoval (8); sále pražského hradu (8); té příležitosti uvedl vážený (8); té příležitosti uvedl vážený pane (8); vážení milí (7); mezi našimi (7); brigádního generála (7); měst obcí (7); přivítal premiéra (7); této příležitosti (7); ovtv pražský (7); španělském sále (7)
miroslav-antl,příjemné setkání (9); úvodní zdravice (8); malých hasičů (8); senátorské víno (8); ivo mrázek (8); mém senátním (8); druhé místo (8); starších žáků (8); mém senátním obvodu (8); sdh houdkovice (7); drahošem drábkem (7); zde již (7); hlavním organizátorem (7); bohoušem cermanem (7); mladší přípravky (7); hradci králové (7); tj sokol (7); kostelci orlicí (7); hlavním sále (6); dolní rovni (6); jirkou bolehovským (6); trestního práva (6); své zdravici (6); zdraví pohodě (6); všeho druhu (6); honza dušek (6); policie čr (6); čem povídat (6); ofs rk (6); mějte krásný (6)
miroslav-kalousek,hodně sil (9); přeji hodně (8); karel schwarzenberg (8); modernizace země (8); nedůvěře vládě (8); čele vlády (7); čas chuť (7); dám včas (7); včas vědět (7); našem území (7); státního zastupitelství (7); ministr financí (7); méně než (7); trestně stíhaný (7); dám včas vědět (7); mnohem víc než (7); velkou ctí (6); ústavního soudu (6); finanční strategii (6); strategii čr (6); pan místopředseda (6); mu zpívali (6); budu zítra (6); státní správy (6); ministra vnitra (6); václava havla (6); děkuji všem přišli (6); finanční strategii čr (6); předseda vlády čr (6); všech zemí eu (5)
olga-richterova,zde publikovaný (6); publikovaný návrh (6); návrh řešení (6); zde publikovaný návrh (6); publikovaný návrh řešení (6); zde publikovaný návrh řešení (6); díky pochvalu (5); sociální práce (5); malé děti (5); 10 tisíc (4); pana ministra (4); odebírání dětí (4); úřad práce (4); velká británie (4); vánoci bývají (4); bývají mrazy (4); nebude fyzicky (4); fyzicky možné (4); možné venku (4); venku účtenky (4); účtenky vydávat (4); vánoci bývají mrazy (4); nebude fyzicky možné (4); fyzicky možné venku (4); možné venku účtenky (4); venku účtenky vydávat (4); nebude fyzicky možné venku (4); fyzicky možné venku účtenky (4); možné venku účtenky vydávat (4); nebude fyzicky možné venku účtenky (4)
ondrej-profant,právu digitální (8); veřejnou správu (8); digitální služby (6); open source (6); zákona právu (5); správu regionální (5); regionální rozvoj (5); zákona právu digitální (5); právu digitální služby (5); veřejnou správu regionální (5); správu regionální rozvoj (5); veřejnou správu regionální rozvoj (5); bankovní identity (4); výboru veřejnou (4); portál občana (4); digitální službu (4); zákon právu (4); výboru veřejnou správu (4); zákona právu digitální služby (4); výboru veřejnou správu regionální (4); výboru veřejnou správu regionální rozvoj (4); datové schránky (3); dva roky (3); dobrá práce (3); již dnes (3); veřejné správy (3); žádný dokument (3); veřejné správě (3); poslanci ano (3); 1 den (3)
patrik-nacher,got ta (9); jiný názor (8); elektronických komunikacích (8); předražené hrnce (8); šílenosti doby (8); dětské exekuce (8); praha sobě (8); politické korektnosti (8); šílenosti doby korektní (8); neplatné exekuce (7); zdeněk hřib (7); hromadných žalobách (7); hromadných žalob (7); soudy mají (7); pražská koalice (7); novela insolvenčního (6); karlu gottovi (6); napsal komentář (6); primátor prahy (6); primátor hřib (6); zdravotním postizenim (6); investiční životní (6); životní pojištění (6); této věci (6); mate pravdu (6); soudních sporů (6); 8 let (6); novela insolvenčního zákona (6); investiční životní pojištění (6); zákona elektronických (5)
pavel-belobradek,zemřel karel (9); gott český (9); český slavík (9); slavík zlatý (9); zlatý hlas (9); hlas sovětské (9); sovětské estrády (9); estrády hlavní (9); hlavní symbol (9); symbol družby (9); družby národů (9); národů socialistického (9); socialistického tábora (9); blby pozor (9); zemřel karel gott (9); karel gott český (9); gott český slavík (9); český slavík zlatý (9); slavík zlatý hlas (9); zlatý hlas sovětské (9); hlas sovětské estrády (9); sovětské estrády hlavní (9); estrády hlavní symbol (9); hlavní symbol družby (9); symbol družby národů (9); družby národů socialistického (9); národů socialistického tábora (9); blby pozor vtip (9); zemřel karel gott český (9); karel gott český slavík (9)
