Politician,Top 10 Unique N-grams
marian-jurecka,pozemkové úpravy (9); rozhodnutí soudu (7); kč ročně (7); ja myslím (6); benefiční koncert (6); investiční dotace (6); moji osobu (6); dej bůh (5); bůh štěstí (5); komise eu (5); čisté svědomí (5); zelenou naftu (5); člen vlády (5); žádné investiční (5); coby ministr (5); chcete levnější (5); dej bůh štěstí (5); mld kč ročně (5); žádné investiční dotace (5); hmotných rezerv (4); zjistěte fakta (4); dvě hodiny (4); dost mimo (4); roku 2013 (4); mohl pan (4); ondřeje závodského (4); masa polska (4); úplně mimo (4); koaliční vláda (4); tohoto státu (4); srdečně zvu (4); volební výsledek (4); zpětnou vazbu (4); ochrany vody půdy (3); předseda klubu ano (3); zákony rozhodnutí soudu (3); moji osobu trestní (3); osobu trestní oznámení (3); trestní oznámení díky (3); všem lidem dobré (3); lidem dobré vůle (3); pan ministr ťok (3); podat trestní oznámení (3); druhé třetí generace (3); stát ušetřil 2 (3); ušetřil 2 mld (3); moji osobu trestní oznámení (3); všem lidem dobré vůle (3); stát ušetřil 2 mld (3); ušetřil 2 mld kč (3); stát ušetřil 2 mld kč (3); ní hovořil premiér (2); klubu ano předseda (2); oproti roku 2013 (2); dvě mexické vlny (2); nerespektuje zákony rozhodnutí (2); nemám rád obstrukce (2); 130 průměrné mzdy (2); minulé koaliční vládě (2); hrát benefiční koncert (2); česká republika měla (2); prezident kdykoliv zastavit (2); my tykame ja (2); rozpočet pozemkové úpravy (2); dopravní infrastruktury čr (2); apple store praze (2); obě auta řídily (2); auta řídily ženy (2); mandát vzal sám (2); další benefiční koncert (2)
marketa-adamova,ráda bych (5); předsedkyni top (5); jaromíra soukupa (5); současný stav (4); opozičních stran (4); dálnice dálnice (4); předsedkyni top 09 (4); součástí mezinárodních (3); mezinárodních struktur (3); petra pavla (3); farmě čapí (3); toustový chléb (3); komunistického režimu (3); jeho okolí (3); stala členkou (3); době konjunktury (3); proti návrhu (3); ministryni financí (3); ústavní žaloba (3); mladých čechů (3); zákona zpřísňuje (3); zavedení eura (3); pan faltýnek (3); hlasování nedůvěře (3); svém projevu (3); tresty týrání (3); smutné sledovat (3); součástí mezinárodních struktur (3); farmě čapí hnízdo (3); obrovskou zásluhu svobodní (2); dnes představila návrh (2); pirátům ods ať (2); ods ať měst (2); ať měst vesnic (2); podíleli pádu komunistického (2); pádu komunistického režimu (2); podle svých slov (2); fiktivních reklam čapím (2); reklam čapím hnízdě (2); založení top 09 (2); kandidovat předsedkyni top (2); ohrazuji proti návrhu (2); mladých čechů hlasovalo (2); čechů hlasovalo setrvání (2); auditu ek premiér (2); ek premiér babiš (2); gratuluji zvolení předsedkyní (2); trestního zákona zpřísňuje (2); zákona zpřísňuje tresty (2); zpřísňuje tresty týrání (2); tresty týrání zvířat (2); funkce místopředsedy ps (2); návrh zákona kterým (2); dálnice dálnice dálnice (2); praze 9 14 (2); řekl premiér babiš (2); takový příští věk (2); ústavní žaloba prezidenta (2); možné nejvyššího státního (2); oproti předcházejícímu roku (2); nezávislosti veřejnoprávních médií (2); samotný návrh budu (2); pokračuji setkávání předsedy (2); setkávání předsedy blízkých (2); předsedy blízkých stran (2); pirátům ods ať měst (2); ods ať měst vesnic (2); podíleli pádu komunistického režimu (2); novelu zákona státním zastupitelství (2); fiktivních reklam čapím hnízdě (2)
martin-kolovratnik,d35 d35 (55); d35 d35 d35 (54); d35 d35 d35 d35 (53); d35 d35 d35 d35 d35 (52); vysokorychlostní tratě (30); výstavby dopravní (22); správní rady (20); stavební povolení (20); urychlení výstavby dopravní (19); kilometrů nových (18); dopravní uzel (17); uzel pardubice (17); železničního uzlu (17); pardubický kraj (16); rád napíšete (16); uzlu pardubice (16); budu rád napíšete (16); dopravní uzel pardubice (16); urychlení výstavby dopravní infrastruktury (15); martin charvát (14); železniční konferenci (14); zákon roku (13); stavební práce (13); víc míň (13); rady sždc (12); vidíte vy (12); můžete prosím (12); myslím bychom (12); budeme muset (12); dálnice d35 (12); nových silnic (12); správní rady sždc (12); železničního uzlu pardubice (12); jestli máte (11); zákona urychlení (11); společně kolegy (11); mě osobně (11); jasná věc (11); přesvědčený bychom (11); ministerstva dopravy (11); pojďme podívat (11); zákona urychlení výstavby (10); zákona urychlení výstavby dopravní (10); přesvědčený bychom měli (9); železniční konferenci pardubice (9); místopředseda správní rady (9); čísla mluví jasně (8); modernizace železničního uzlu (8); kilometrů nových silnic (8); zákona urychlení výstavby dopravní infrastruktury (8); zákon urychlení výstavby (7); rád napíšete názor (7); dopravní cesty sždc (7); zákon urychlení výstavby dopravní (7); budu rád napíšete názor (7); modernizace železničního uzlu pardubice (7); místopředseda správní rady sždc (7); železniční dopravní cesty sždc (7); staveb pět let (6); příští rok začíná (6); rok začíná velká (6); začíná velká modernizace (6); velká modernizace železničního (6); rekonstrukce velké části (6); velké části kolejiště (6); části kolejiště stavba (6); kolejiště stavba nového (6); stavba nového nástupiště (6); nového nástupiště ním (6); nástupiště ním spojené (6)
michaela-sojdrova,uprchlických dětí (14); češi pomáhají (9); nicholas winton (8); nedoprovázených dětí (7); paní šojdrová (6); uprchlických táborů (6); táborů řecku (6); post předsedy (6); obětem války (6); česká vláda (6); uprchlické děti (6); budu ráda (6); evropských lidovců (6); petr pithart (5); manfred weber (5); přijetí nedoprovázených (5); dětským obětem (5); dobrovolnou solidaritu (5); řeckých ostrovech (5); 200 rodin (5); předsedu evropské (5); uprchlických táborů řecku (5); dětským obětem války (5); předsedu evropské komise (5); děti kterým (4); chci poděkovat (4); uprchlického tábora (4); práva dětí (4); přijetí syrských (4); řeckých uprchlických (4); zemědělském výboru (4); nedoprovázených uprchlických (4); chtějí pomoci (4); přijetí dětí (4); dětí doprovodu (4); 000 pracovních (4); nicholase wintona (4); další kroky (4); území evropské (4); lídři eu (4); eu další (4); nezaopatřených uprchlických (4); nedoprovázených uprchlických dětí (4); 000 pracovních míst (4); území evropské unie (4); nezaopatřených uprchlických dětí (4); polil hořlavinou zapálil (3); naší lidskou zodpovědností (3); lidskou zodpovědností povinností (3); strany obchodních řetězců (3); evropský sbor solidarity (3); sir nicholas winton (3); výzva svědomí evropy (3); okolo 200 rodin (3); uprchlických dětí doprovodu (3); konec dvojí kvality (3); děkuji všem podporu (3); evropského sboru solidarity (3); naší lidskou zodpovědností povinností (3); situaci pronásledovaných křesťanů (2); václavském náměstí praze (2); květnou neděli významný (2); neděli významný den (2); příjezd ježíše jeruzaléma (2); ježíše jeruzaléma lid (2); jeruzaléma lid vítal (2); lid vítal palmovými (2); vítal palmovými větvemi (2); palmovými větvemi používáme (2); větvemi používáme kočičky (2)
michal-kucera,dan pitek (6); hnědého uhlí (6); karel schwarzenberg (5); století páry (5); zákoník práce (5); ústecký kraj (5); hospodářském výboru (5); těžba hnědého (4); slevy jízdném (4); opravdu chceme (4); rudá věž (4); věž smrti (4); údolí berounky (4); vzpomeňme rok (4); přírody krajiny (4); mnoho zdaru (4); směřování naší (4); hloupý vtip (4); těžba hnědého uhlí (4); rudá věž smrti (4); směřování naší země (4); elektronické řízení (3); podle dopravní (3); dopravní situace (3); naše děcka (3); mirkem kalouskem (3); karla schwarzenberga (3); peníze uhlí (3); ministr brabec (3); státních organizací (3); vláda chce (3); státních rezerv (3); ničí krajinu (3); dává smysl (3); ukrajině mají (3); mají jasno (3); mejdan pomalu (3); pomalu končí (3); slevy dotace (3); volební období (3); plukovníka stehlíka (3); žádný jiný (3); uhelná energetika (3); odra dunaj (3); karlem schwarzenbergem (3); době krize (3); zůstane zachován (3); ministr ťok (3); opět moci (3); ochranu přírody (3); lounské radnici (3); dálnice d7 (3); odhalování pamětní (3); pamětní desky (3); desky generálu (3); podle dopravní situace (3); ukrajině mají jasno (3); mejdan pomalu končí (3); ochranu přírody krajiny (3); odhalování pamětní desky (3); pamětní desky generálu (3); desky generálu mašínovi (3); přeji mnoho zdaru (3); ochraně životního prostředí (3); povrchová těžba hnědého (3); odhalování pamětní desky generálu (3); pamětní desky generálu mašínovi (3); povrchová těžba hnědého uhlí (3); odhalování pamětní desky generálu mašínovi (3); lounským starostou pavlem (2)
mikulas-peksa,evropa potřebuje (19); rozpočtovou kontrolu (13); svobodná aliance (12); výboru rozpočtovou (12); výboru rozpočtovou kontrolu (12); českém parlamentu (9); evropské peníze (8); copyrightové směrnice (8); autorském právu (8); roce 2015 (8); globální oteplování (8); nadnárodní korporace (8); cenzorní směrnici (7); svobody internetu (7); směrnice copyrightu (7); digitální daně (7); klimatická krize (7); evropská rada (7); oxidu uhličitého (7); placení daní (7); mikuláš peksa (6); ursuly von (6); proti cenzorní (6); frakce svobodná (6); skleníkových plynů (6); evropské armády (6); marek hilšer (6); ochranu klimatu (6); evropská politika (6); předsedkyni evropské (6); soudní dvůr (6); ivan bartos (6); celé evropě (6); frakce svobodná aliance (6); předsedkyni evropské komise (6); emise skleníkových plynů (5); markéta gregorová brusel (5); hlasování kvalifikovanou většinou (5); směrnici autorském právu (5); najdete mém blogu (5); základních lidských práv (5); proti cenzorní směrnici (4); autorském právu jednotném (4); právu jednotném digitálním (4); jednotném digitálním trhu (4); rámci boje proti (4); společné zahraniční bezpečnostní (4); zahraniční bezpečnostní politiky (4); evropa potřebuje piráty (4); evropská politika zahraniční (4); politika zahraniční politika (4); rozpočtovou kontrolu cont (4); peněz evropských daňových (4); evropských daňových poplatníků (4); eu členské státy (4); eu mimo ní (4); porušování základních lidských (4); autorském právu jednotném digitálním (4); právu jednotném digitálním trhu (4); společné zahraniční bezpečnostní politiky (4); evropská politika zahraniční politika (4); výboru rozpočtovou kontrolu cont (4); peněz evropských daňových poplatníků (4); porušování základních lidských práv (4); autorském právu jednotném digitálním trhu (4); ps chcete zahrát (3); chcete zahrát peksaso (3); zahrát peksaso pojmenovali (3); peksaso pojmenovali kolegové (3); pojmenovali kolegové dost (3)
milos-zeman,pane prezidente (202); setkání občany (180); dovolte abych (152); den návštěvy (151); občany města (123); setkání prezidenta (116); setkání prezidenta republiky (116); hradě dnes (113); týden prezidentem (113); prezidentem tv (111); barrandov čtvrtek (111); týden prezidentem tv (111); prezidentem tv barrandov (111); tv barrandov čtvrtek (111); týden prezidentem tv barrandov (111); prezidentem tv barrandov čtvrtek (111); týden prezidentem tv barrandov čtvrtek (111); setkání občany města (110); paní dnes (106); mojí paní (91); zaměstnanci společnosti (83); pražském hradě dnes (70); pražského hradu (69); té příležitosti (69); zámku lánech (67); své pracovně (65); druhé straně (62); zásluhy stát (58); medaili zásluhy (57); pracovně pražském (55); zásluhy stupně (55); pracovně pražském hradě (55); vážený pane předsedo (55); medaili zásluhy stupně (55); ovtv pražský (52); ovtv pražský hrad (52); své pracovně pražském (51); své pracovně pražském hradě (51); hradě přijal (49); příležitosti uvedl (49); stát oblasti (49); zásluhy stát oblasti (49); vážený pane prezidente (48); pražském hradě přijal (46); uvedl vážený (44); děkuji vaši (44); té příležitosti uvedl (44); 2017 setkání (43); uvedl vážený pane (43); vaši pozornost (41); dnes navštívila (40); občany obce (40); paní dnes navštívila (40); dnes přijal (39); první den (39); konference prezidenta (39); tisková konference prezidenta (39); konference prezidenta republiky (39); tisková konference prezidenta republiky (39); vážená paní (38); bílého lva (38); státního svátku (38); brigádního generála (38); děkuji vaši pozornost (37); přátelsky přivítal (36); armády české (36); setkání občany obce (36); armády české republiky (36); setkání zaměstnanci (35); paní vero (35)
miroslav-antl,vy mějte (20); rychnov kněžnou (18); senátního obvodu (18); společná fotografie (15); mého senátního (15); dobrovolných hasičů (14); krátká zdravice (14); orlických horách (14); mého senátního obvodu (14); sociální patologie (13); patologie sociologie (13); rychnově kněžnou (13); sociální patologie sociologie (13); katedra sociální (11); zdravice poděkování (11); senátním obvodu (11); mladší žáci (11); slavnostní zahájení (11); ofs pardubice (11); katedra sociální patologie (11); katedra sociální patologie sociologie (11); osh pardubice (10); rychnovské nemocnice (10); jednacím sále (10); úvodní zdravice (8); malých hasičů (8); senátorské víno (8); ivo mrázek (8); mém senátním (8); druhé místo (8); starších žáků (8); mém senátním obvodu (8); sdh houdkovice (7); drahošem drábkem (7); zde již (7); hlavním organizátorem (7); bohoušem cermanem (7); mladší přípravky (7); hradci králové (7); tj sokol (7); kostelci orlicí (7); hlavním sále (6); dolní rovni (6); jirkou bolehovským (6); trestního práva (6); své zdravici (6); zdraví pohodě (6); všeho druhu (6); honza dušek (6); čem povídat (6); ofs rk (6); mějte krásný (6); trestného činu (6); čas popovídat (6); český basketbal (6); požární útok (6); českého poháru (6); sdh javornice (6); pdf uhk (6); black buřiňos (5); nemohli vynechat (5); dobrá nálada (5); dolní roveň (5); dohodli další (5); poděkování organizátorům (5); korejze blatinského (5); tavení skla (5); skla dřevem (5); mladších žáků (5); krásné dny (5)
miroslav-kalousek,pane kalousku (68); konflikt zájmů (40); rozpočtové odpovědnosti (36); tv prima (34); přál bych (34); miroslav kalousek (33); mnohem větší (29); veřejných rozpočtů (28); krizového štábu (28); ministra financí (27); pivo mirkem (27); takovém případě (26); hodně sil (26); nezbývá než (24); státních zaměstnanců (24); vládní poslanci (23); zákona rozpočtové odpovědnosti (15); národní rozpočtové rady (14); předseda vlády čr (13); ústředního krizového štábu (13); nikdy mě nenapadlo (12); dám včas vědět (10); best in covid (10); penzijního zdravotního pojištění (10); republiky miloš zeman (9); trestně stíhaný stbák (9); počet státních zaměstnanců (9); ať odpočívá pokoji (9); odpočívejte pokoji pane (9); své cti dbalý (9); přeji mnoho úspěchů (9); té či oné (9); správě cizího majetku (8); principy právního státu (8); rozpočtová politika vlády (8); předsedkyně národní rozpočtové (8); předsedkyně národní rozpočtové rady (8); schopný národ řídí (7); hodně zdraví sil (7); poslanci top 09 (7); partii tv prima (7); kanceláře prezidenta republiky (7); den české státnosti (7); národ řídí nemehla (6); všech politických stranách (6); poslanců top 09 (6); vašem místě bych (6); dobrý den pane (6); židovských náboženských obcí (6); zákona veřejném zdraví (6); finanční strategii čr (6); ušetřit jedinou korunu (6); máte pravdu pane (6); bývalý ministr financí (6); vážné bezpečnostní riziko (6); vlády ano čssd (6); abych pravdu řekl (6); vy dobře víte (6); klubu top 09 (6); máte jistě pravdu (6); odskáčou ti nejslabší (6); porušování povinností správě (6); povinností správě cizího (6); ať či onak (6); zaslouží naši úctu (6); trestně stíhaný premiér (6); přeji hodně zdraví (6); maestro semjon byčkov (6); premiér trestně stíhaný (6); trestně stíhaná osoba (6)
olga-richterova,zde publikovaný (6); publikovaný návrh (6); návrh řešení (6); zde publikovaný návrh (6); publikovaný návrh řešení (6); zde publikovaný návrh řešení (6); díky pochvalu (5); sociální práce (5); malé děti (5); pana ministra (4); odebírání dětí (4); úřad práce (4); velká británie (4); vánoci bývají (4); bývají mrazy (4); nebude fyzicky (4); fyzicky možné (4); možné venku (4); venku účtenky (4); účtenky vydávat (4); vánoci bývají mrazy (4); nebude fyzicky možné (4); fyzicky možné venku (4); možné venku účtenky (4); venku účtenky vydávat (4); nebude fyzicky možné venku (4); fyzicky možné venku účtenky (4); možné venku účtenky vydávat (4); nebude fyzicky možné venku účtenky (4); fyzicky možné venku účtenky vydávat (4); téhle zemi (3); dětské skupiny (3); soc služby (3); kvalitní sociální (3); té interpelaci (3); sociální práci (3); respektuju výsledek (3); výsledek konzervativní (3); doufám velká (3); británie brát (3); zájmy skotů (3); skotů ohled (3); ohled vyjádřili (3); vyjádřili většinovou (3); většinovou vůli (3); vůli setrvat (3); setrvat eu (3); eu zdůrazňuji (3); zdůrazňuji vítěz (3); shodou okolností (3); oficiální dotaz (3); exekučního řádu (3); soulad zákonů (3); zákonů realitou (3); mrazy zkrátka (3); zkrátka nebude (3); respektuju výsledek konzervativní (3); výsledek konzervativní strany (3); doufám velká británie (3); velká británie brát (3); zájmy skotů ohled (3); skotů ohled vyjádřili (3); ohled vyjádřili většinovou (3); vyjádřili většinovou vůli (3); většinovou vůli setrvat (3); vůli setrvat eu (3); setrvat eu zdůrazňuji (3); eu zdůrazňuji vítěz (3); soulad zákonů realitou (3); bývají mrazy zkrátka (3)
ondrej-profant,právu digitální (8); open source (6); zákona právu digitální (5); právu digitální služby (5); bankovní identity (4); portál občana (4); zákona právu digitální služby (4); datové schránky (3); veřejné správy (3); žádný dokument (3); veřejné správě (3); 1 den (3); návrh zákona právu (3); zákon právu digitální (3); návrh zákona právu digitální (3); návrh zákona právu digitální služby (3); ministryně spravedlnosti (2); mobilních dat (2); tram 17 (2); pár minut (2); minut poté (2); systému exekucí (2); vojenská rozvědka (2); tisk 447 (2); stavební řízení (2); omezení svobody (2); pár týdnů (2); starší článek (2); köln sagt (2); first und (2); všech bank (2); čas promluvit (2); promluvit padesátému (2); padesátému výročí (2); vládě andreje (2); klíčový zákon (2); čr navíc (2); rámci nia (2); zasedání výboru (2); prošel návrh (2); kosmickou dopravu (2); vaše banka (2); akční plán (2); lidí exekuci (2); public money (2); money public (2); public code (2); pár minut poté (2); čas promluvit padesátému (2); promluvit padesátému výročí (2); vládě andreje babiše (2); zasedání výboru veřejnou (2); tisíc lidí exekuci (2); public money public (2); money public code (2); poslanci ano nemají (2); digitální technická mapa (2); neporušil jednací řád (2); neměl žádný dokument (2); žádný dokument spadající (2); dokument spadající zákon (2); spadající zákon doporučuji (2); zákon doporučuji kvalitnější (2); doporučuji kvalitnější zdroje (2); čez čd další (2); čas promluvit padesátému výročí (2); zasedání výboru veřejnou správu (2); public money public code (2); neměl žádný dokument spadající (2); žádný dokument spadající zákon (2)
patrik-nacher,doby korektní (13); jiný názor (8); elektronických komunikacích (8); předražené hrnce (8); šílenosti doby (8); dětské exekuce (8); politické korektnosti (8); šílenosti doby korektní (8); neplatné exekuce (7); hromadných žalobách (7); hromadných žalob (7); soudy mají (7); novela insolvenčního (6); karlu gottovi (6); napsal komentář (6); primátor prahy (6); zdravotním postizenim (6); investiční životní (6); životní pojištění (6); mate pravdu (6); soudních sporů (6); investiční životní pojištění (6); zákona elektronických (5); půl milionu (5); neprodávají předražené (5); aspoň povedlo (5); načerno znovu (5); finanční gramotnosti (5); hřib primátor (5); tisíc exekucí (5); ministerstvo spravedlnosti (5); dvojího metru (5); mají soudy (5); lidé kterým (5); kterým dluhy (5); dluhy vznikly (5); žáka vyučování (5); institut hromadných (5); hana kordová (5); kordová marvanová (5); zbyňkem prouskem (5); trestním řízení (5); několika desítkami (5); desítkami let (5); zákona elektronických komunikacích (5); neprodávají předražené hrnce (5); zdeněk hřib primátor (5); hřib primátor prahy (5); kterým dluhy vznikly (5); institut hromadných žalob (5); několika desítkami let (5); zdeněk hřib primátor prahy (5); trochu jiný (4); 168 hodin (4); soud svitavách (4); pohody klidu (4); politická korektnost (4); hrnce předváděcích (4); předváděcích akcích (4); nezabavitelné minimum (4); obou stran (4); protiprávních exekucí (4); předražené hrnce předváděcích (4); hrnce předváděcích akcích (4); 200 metrů čtverečních (4); princip dvojího metru (4); lidé kterým dluhy (4); dluhy vznikly dětství (4); velký dík patří (4); lovcem šmejdů zbyňkem (4)
pavel-belobradek,pavel bělobrádek (17); vědy výzkumu (16); kontrolu činnosti (15); pozor vtip (14); cdu csu (13); roce 2010 (12); roztroušenou sklerózou (12); komise kontrolu (12); jan sokol (12); the tap (12); tap tap (12); the tap tap (12); senát jim (11); topka stan (11); královéhradecký kraj (11); blby pozor (11); větší než (11); pane bělobrádku (11); blby pozor vtip (11); ach jo (10); jim nedáme (10); královéhradeckého kraje (10); karel gott (10); mnoho let (10); papež františek (10); pracující rodiče (10); červeném kostelci (10); roce 2013 (10); senát jim nedáme (10); činnosti bis (9); zemřel karel (9); gott český (9); český slavík (9); slavík zlatý (9); zlatý hlas (9); hlas sovětské (9); sovětské estrády (9); estrády hlavní (9); hlavní symbol (9); symbol družby (9); družby národů (9); národů socialistického (9); socialistického tábora (9); zemřel karel gott (9); karel gott český (9); gott český slavík (9); český slavík zlatý (9); slavík zlatý hlas (9); zlatý hlas sovětské (9); hlas sovětské estrády (9); sovětské estrády hlavní (9); estrády hlavní symbol (9); hlavní symbol družby (9); symbol družby národů (9); družby národů socialistického (9); národů socialistického tábora (9); větší než zisk (9); ep zvlášť kandidují (9); zvlášť kandidují cdu (9); kandidují cdu csu (9); zemřel karel gott český (9); karel gott český slavík (9); gott český slavík zlatý (9); český slavík zlatý hlas (9); slavík zlatý hlas sovětské (9); zlatý hlas sovětské estrády (9); hlas sovětské estrády hlavní (9); sovětské estrády hlavní symbol (9); estrády hlavní symbol družby (9); hlavní symbol družby národů (9)
pavel-poc,evropskou komisí (4); děkuji podporu (4); bezpečnosti potravin (4); lídr kandidátky (4); životním prostředí (4); dvojí metr (3); potravinovém právu (3); bezpečnost potravin (3); proti rakovině (3); zpráva výboru (3); potravinového práva (3); voleb evropského (3); budu moct (3); snížit emise (2); přijďte dnes (2); máte chuť (2); obecném potravinovém (2); čr eu (2); ústí labem (2); témata čekají (2); špatná musí (2); lídra eurovoleb (2); lidovci chtějí (2); škody napáchané (2); eu voleb (2); půdě ep (2); alternativy chemickým (2); chemickým pesticidům (2); chemických látek (2); členským státům (2); debata zákazu (2); lidovém domě (2); stále můžete (2); najdete zde (2); prsty průmyslu (2); inovační princip (2); zahájení kampaně (2); parlamentu blíží (2); voleb 2019 (2); časem podařilo (2); děkuji spolupráci (2); hormonální disruptory (2); budu komentovat (2); nepochopení neobratnost (2); skvělou práci (2); ohrožených druhů (2); přimět komisi (2); nebezpečných chemikálií (2); jednací sál (2); závěrečná zpráva (2); výboru koordinoval (2); máte rádi (2); downova syndromu (2); zdraví zvířat (2); obecném potravinovém právu (2); alternativy chemickým pesticidům (2); evropského parlamentu blíží (2); evropských voleb 2019 (2); závěrečná zpráva výboru (2); novou podobu potravinového (2); podobu potravinového práva (2); potravinového práva eu (2); boj proti dvojí (2); měli jít volbám (2); lídr kandidátky čssd (2); zahajujeme kampaň voleb (2); kampaň voleb evropského (2); volby evropského parlamentu blíží (2); novou podobu potravinového práva (2); boj proti dvojí kvalitě (2)
petr-fiala,koalice spolu (123); snížení daní (59); prodloužení nouzového (55); těchto dnech (54); česko dohromady (50); normálnímu životu (48); česko nohy (48); superhrubou mzdu (46); teď jde (46); zrušení daně (45); vláda musí (44); daně nabytí (44); abychom mohli (43); jižní moravě (43); senátních voleb (41); současná vláda (41); přeji mu (40); můžete spolehnout (40); senátních volbách (39); krajských voleb (38); konkrétní plán (38); podívejte prosím (37); koalici spolu (37); vláda nemá (37); bohuslav sobotka (37); první linii (36); přijďte prosím (36); nižší daně (35); petr fiala (35); čssd ano (35); volbám volte (35); konkrétní návrhy (34); stát musí (34); měl možnost (33); dáme česko (32); dáme česko dohromady (31); podívejte prosím krátké (25); česká republika potřebuje (23); prosím krátké shrnutí (23); podívejte prosím krátké shrnutí (23); nominaci předsedu ods (21); spolu dáme česko (21); postavit česko nohy (21); spolu dáme česko dohromady (21); mezi nejlepší země (20); zájmy české republiky (20); kole senátních voleb (16); mezi nejúspěšnější země (16); přijďte volbám volte (16); prosím pátek sobotu (15); návrat dětí škol (15); nejlepší země světě (15); mezi 10 nejlepších (15); krajských senátních volbách (15); mezi nejlepší země světě (15); naše země potřebuje (14); velký právní úklid (14); zrušit superhrubou mzdu (13); komunálních senátních volbách (13); obranu 2 hdp (13); pekarová adamová marian (13); adamová marian jurečka (13); změna můžete věřit (13); markéta pekarová adamová marian (13); pekarová adamová marian jurečka (13); markéta pekarová adamová marian jurečka (13); funkci předsedy vlády (12); přijďte prosím pátek (12); malým středním podnikatelům (12); dát česko dohromady (12)
petr-hlubucek,centru prahy (8); zavedení mýta (7); vysokoemisní vozidla (7); vzduchu praze (6); plavební komory (5); vjet centra (4); ničit zdraví (4); jednání rady (4); smetanova nábřeží (4); jednání zastupitelstva (4); náměstek primátora (4); dnes praze (4); emisí co2 (4); nových stromů (4); ulicích prahy (3); rada schválila (3); praze druhý (3); druhý nejhorší (3); nejhorší republice (3); nezakazuje nikomu (3); nikomu vjet (3); centra města (3); kouřící auta (3); neustále ničit (3); dnes schváleno (3); praze nechceme (3); roku 2030 (3); zdraví pražanů (3); mýta vysokoemisní (3); záchranná stanice (3); další plavební (3); roce 2050 (3); mýto vysokoemisní (3); vysokoemisní vozidlo (3); dětského ostrova (3); rostlinného bioodpadu (3); rostlinný bioodpad (3); vzduchu praze druhý (3); praze druhý nejhorší (3); druhý nejhorší republice (3); nezakazuje nikomu vjet (3); nikomu vjet centra (3); neustále ničit zdraví (3); ničit zdraví pražanů (3); zavedení mýta vysokoemisní (3); mýta vysokoemisní vozidla (3); vzduchu praze druhý nejhorší (3); praze druhý nejhorší republice (3); nezakazuje nikomu vjet centra (3); zavedení mýta vysokoemisní vozidla (3); vzduchu praze druhý nejhorší republice (3); technického stavu (2); stavu vozidel (2); sebou také (2); dopravního podniku (2); dozorčí rady (2); mýto nezakazuje (2); auta měla (2); měla neustále (2); zdraví obyvatel (2); složky izs (2); topení uhlím (2); prahy pochází (2); turistů praze (2); bezpečnost pražanů (2); komunální politik (2); politik radní (2); schváleno radě (2); klimatický závazek (2); snížíme emise (2)
radek-vondracek,národní rady (21); předsedů parlamentů (18); národního shromáždění (16); andrej danko (15); parlamentů zemí (13); slovenské republiky (13); srbské republiky (12); ilegální migraci (12); můžete pustit (11); visegrádské skupiny (11); rozšíření eu (11); danko predseda (11); predseda sns (11); andrej danko predseda (11); danko predseda sns (11); andrej danko predseda sns (11); dolní sněmovny (10); cyrila metoděje (10); roce 1968 (10); výročí sametové (9); sametové revoluce (9); mě čeká (9); přijal pozvání (9); předsedů parlamentů zemí (9); zemí v4 (8); předsedou dolní (8); dolní komory (8); spolkového sněmu (8); summitu předsedů (8); wolfgang sobotka (8); hlavním městě (8); oficiální návštěva (8); vesnice roku (8); uctil památku (8); celý projev (7); projev můžete (7); diskutovali také (7); vzájemných vztahů (7); bezpečnostní situaci (7); geoffem reganem (7); komory parlamentu (7); prezident české (7); obchodní investiční (7); nový velvyslanec (7); přátel čr (7); senior parlamentu (7); památky obětí holocaustu (7); celý projev můžete (6); předseda národní rady (6); parlamentů zemí visegrádské (6); zemí visegrádské skupiny (6); soukromá audience papeže (6); audience papeže františka (6); summitu předsedů parlamentů (6); předsedou dolní sněmovny (6); parlamentů zemí visegrádské skupiny (6); soukromá audience papeže františka (6); výročí okupace československa (5); národní rady rakouska (5); spojení mezi prahou (5); obchodní investiční vztahy (5); projev můžete přečíst (5); vzniku samostatného československého (5); samostatného československého státu (5); předsedů parlamentů evropské (5); parlamentů evropské unie (5); dolní komory parlamentu (5); obětí holocaustu předcházení (5); holocaustu předcházení zločinům (5); předcházení zločinům proti (5)
