Politik,Podstatná jména,Slovesa,Přídavná jména,Příslovce,Zájmena,Členy,Předložky,Spojky,Podřadicí spojky,Číslovky,Částice,Citoslovce
jana-cernochova_texty,22.387570780102017,9.794562216294631,8.63400252702513,6.434554728812766,4.347419158594225,5.16636248771585,8.863306659179186,0.0,2.335158407038233,2.1292526557162246,0.921896204782629,0.3322570078150592
jana-vildumetzova_texty,26.54697665036058,8.763259199488964,12.59434834501656,5.39613697110293,3.2713029737589725,4.569065510111453,10.341755341503186,0.0,1.3784524349857952,2.8880259552507273,0.4589237984769782,0.021853514213189436
jaroslav-foldyna_texty,19.7004315816197,9.875602944909875,7.286113226707286,5.712109672505712,4.848946433104849,6.042142675806042,7.844630616907845,0.0,2.3863924854023866,1.827875095201828,1.0408733181010408,0.7362274689007363
jaroslav-polacek_texty,22.649875842497337,9.234953293129951,8.41314887075795,4.57017855031335,3.257656379330732,4.138583422017264,7.579519924323046,0.0,2.0811162350715384,4.0912853257656385,0.5853139411138701,0.13006976469197115
jiri-dolejs_texty_2019,27.914929107589657,9.278565471226022,6.905754795663052,5.48790658882402,3.7823185988323607,4.745621351125939,8.999165971643036,0.0,1.7723102585487907,1.4220183486238533,1.3344453711426187,0.7256046705587991
jiri-dolejs_texty_2020,30.286343612334804,8.480176211453745,6.607929515418502,4.6255506607929515,3.634361233480176,4.405286343612335,9.691629955947137,0.0,1.2114537444933922,0.881057268722467,1.3215859030837005,1.3215859030837005
jiri-drahos_texty,22.9045464339582,10.665804783451842,11.32083602671838,6.537384184443009,4.395604395604396,5.4169360051713,10.101271277741866,0.0,2.1934927817280756,1.469510881275587,0.6377935789700495,0.04740357681534152
jiri-pospisil_texty,23.051131601005867,11.466890192791283,9.656328583403186,5.63844649343392,3.487007544006706,4.928751047778709,8.829281922324672,0.0,2.8890751606594023,1.2908633696563285,0.8214585079631181,0.06705783738474434
jiri-vosecky_texty,23.50466434973477,8.249496981891348,10.55423449789647,5.743552222425461,3.4753978415950244,3.6400219498811044,10.31644411926102,0.0,1.0426193524785072,3.255899030546918,0.4755807572708981,0.09145783793671117
karel-havlicek_texty_2019,26.94620510320169,8.5533189384969,11.065450070813307,4.676000092869913,2.2613823686471175,3.5081609435583103,9.925471895242739,0.0,1.151586914629333,2.437835202340322,0.41094936268022564,0.04179146061154837
karel-havlicek_texty_2020,28.05620315751592,8.547824318192486,11.539484595765986,5.064855815117898,2.4455883963636933,2.9509787047613085,10.75871133294738,0.0,0.916900064151711,4.636134624712491,0.4052510522445275,0.10013925615308789
karel-havlicek_texty_2021,28.149412459791247,7.759469572638351,10.846517429265411,5.05645637760126,2.2287139762358037,2.58320751001116,10.80384691131097,0.0,0.8222280575067288,4.521433729403269,0.38239348782249066,0.07385281953653253
karel-havlicek_texty_2022,24.96572423759588,8.993218957275726,9.534220180086708,5.934338755697188,2.9199244080483195,3.677696668766443,9.248897617371327,0.0,1.5729795827620705,3.297884166450513,0.5132100641049394,0.0852262200318672
katerina-valachova_texty,23.016671457315322,9.778312733544121,9.438775510204081,6.970393791319345,3.639695314745617,5.610448404713998,9.523210692727796,0.0,2.48275366484622,2.1414199482609946,0.8641132509341765,0.05928427709111814
ladislav-oklestek_texty,24.575580102305583,11.031210616057528,11.031210616057528,6.1160945955964126,4.529616724738676,4.507376380754689,11.194306471940099,0.0,1.6457854548150346,1.705093038772333,0.6227296315516346,0.0815479279412855
lubomir-volny_texty_2019,18.210941350418924,11.048722100964586,8.389072731113146,7.155178483418996,5.4513131028655915,5.822713511230022,7.067168907977188,0.0,2.31113145110188,1.450397803280997,1.188129268464409,0.2587481517989157
lubomir-volny_texty_2020,18.953534739760364,10.496933330801511,8.172720885631279,6.604257258416725,5.149725613808556,5.501965326699961,7.584072308831627,0.0,2.2786396521276795,1.6121375538803335,1.0643146041813039,0.32945331637012704
lubomir-volny_texty_2021,19.277095726279374,10.84989241868118,8.014808252119984,6.598320887651352,5.2989073113108045,5.635362612327553,7.510652660000844,0.0,2.094671560561954,1.8004050120237944,0.8711977386828671,0.5727123148968485
